silva_acc	OTU	OTU_derep	Identity	SequenceType Rank 0	SequenceType Rank 1	SequenceType Rank 2	SequenceType Rank 3	SequenceType Rank 4	...9	Identity(%)	IdentityType	Length(bp)	Taxonomy	Created
AB506368.1.1519	OTU109	OTU95	PAC002716_s	NA	NA	NA	NA	NA	NA	99.55	16S rRNA	1348	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;PAC002716_g;PAC002716_g_PAC002716_s	2025-07-02T13:16:19.000
AB506307.1.1496	OTU83	OTU69	Terrisporobacter sp.	NA	NA	NA	NA	NA	NA	98.69	16S rRNA	1324	Bacteria;Bacillota;Tissierellia;Peptostreptococcales;Peptostreptococcaceae;Terrisporobacter	2025-07-02T13:16:11.000
EU775636.1.1373	NA	OTU2817	Clostridium saudiense	NA	NA	NA	NA	NA	NA	98.8	16S rRNA	1335	Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium_saudiense	2025-07-02T12:04:13.000
AB506293.1.1505	OTU77	OTU20	Clostridium baratii group	NA	NA	NA	NA	NA	NA	98.8	16S rRNA	1334	Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium_baratii	2025-07-02T12:04:10.000
AB506399.1.1495	OTU124	OTU110	Romboutsia timonensis	NA	NA	NA	NA	NA	NA	99.7	16S rRNA	1324	Bacteria;Bacillota;Tissierellia;Peptostreptococcales;Peptostreptococcaceae;Romboutsia;Romboutsia_timonensis	2025-07-02T12:04:06.000
EU457777.1.1404	NA	OTU191	Lactobacillaceae sp.	NA	NA	NA	NA	NA	NA	93.8	16S rRNA	1366	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	2025-07-02T12:04:03.000
AB506297.1.1495	OTU80	OTU66	Terrisporobacter petrolearius group	NA	NA	NA	NA	NA	NA	99.08	16S rRNA	1324	Bacteria;Bacillota;Tissierellia;Peptostreptococcales;Peptostreptococcaceae;Terrisporobacter;Terrisporobacter_petrolearius	2025-07-02T12:03:59.000
GQ135879.1.1386	NA	OTU404	Clostridium sp.	NA	NA	NA	NA	NA	NA	97.74	16S rRNA	1346	Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae;Clostridium	2025-07-02T12:03:50.000
EU775580.1.1399	OTU2255	OTU4	Streptococcaceae sp.	NA	NA	NA	NA	NA	NA	94.27	16S rRNA	1360	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	2025-07-02T11:40:32.000
EU474972.1.1421	OTU1838	OTU17	Lactobacillus amylovorus	NA	NA	NA	NA	NA	NA	98.7	16S rRNA	1383	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus_amylovorus	2025-07-02T11:40:27.000
DQ796875.1.1402	OTU1138	OTU618	Turicibacteraceae sp.	NA	NA	NA	NA	NA	NA	93.56	16S rRNA	1364	Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Turicibacteraceae	2025-07-02T11:34:58.000;
AM183043.1.1445	OTU557	NA	Clostridium sp.	NA	NA	NA	NA	NA	NA	95	16S rRNA	1453	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	2025-08-27T11:34:58.000;
DQ238609	NA	NA	Terrisporobacter sp.	NA	NA	NA	NA	NA	NA	99	16S rRNA	1425	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Terrisporobacter	2025-08-27T11:34:58.000;
CP013476.1296696.1298220	OTU889	NA	Turicibacter sp.	NA	NA	NA	NA	NA	NA	100	16S rRNA	1439	Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	2025-08-27T11:34:58.000;
CP013476.575138.576663	OTU893	NA	Turicibacter sp.	NA	NA	NA	NA	NA	NA	99	16S rRNA	1440	Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	2025-08-27T11:34:58.000;
AB506291.1.1507	OTU76	NA	Clostridium sp.	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1507	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	NA
AB506374.1.1507	OTU114	NA	Clostridium sp.	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1507	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	NA
AM183054.1.1426	OTU562	NA	Clostridium sp.	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1426	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	NA
AM500787.1.1483	OTU615	NA	Bulleidia sp.	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1483	Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia	NA
KU705878.1.1480	OTU4102	NA	Clostridium sp.	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1480	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	NA
DQ238609.1.1484	OTU1036	NA	Terrisporobacter sp.	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1484	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Terrisporobacter	NA
EF153431.1.1479	OTU1353	NA	Corynebacterium sp.	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1479	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	NA
HQ716545.1.1449	OTU3415	NA	PAC001286_s	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1449	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001286	NA
EU773309.1.1388	OTU2100	NA	Arthrobacter sp.	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1388	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter	NA
HQ796965.1.1439	OTU3534	NA	Romboutsia sp.	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1439	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia	NA
GQ158347.1.1403	OTU3008	NA	PAC001207_s	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1403	Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;PAC001207	NA
FJ660505.1.1475	OTU2576	NA	Terrisporobacter sp.	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1475	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Terrisporobacter	NA
KT835605.1.1480	OTU4089	NA	Clostridium sp.	NA	NA	NA	NA	NA	NA	NA	16S rRNA	1480	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	NA
